phenotype,celltype
CD11c-CD15-CD163-CD20-CD3-CK+,CD15-Tumor
CD11c-CD15-CD163-CD20-CD3-CK-,other
CD11c-CD15-CD163-CD20-CD3+CK-,Tcell
CD11c-CD15-CD163+CD20-CD3-CK-,Macrophage
CD11c+CD15-CD163+CD20-CD3-CK-,Macrophage
CD11c-CD15-CD163+CD20-CD3+CK-,Tcell
CD11c+CD15-CD163+CD20+CD3+CK-,BnTcell
CD11c+CD15-CD163+CD20-CD3+CK-,Tcell
CD11c+CD15-CD163+CD20-CD3-CK+,Macrophage
CD11c-CD15-CD163+CD20-CD3-CK+,Macrophage
CD11c+CD15+CD163+CD20-CD3-CK-,Macrophage
CD11c-CD15+CD163-CD20-CD3-CK-,Neutrophil
CD11c-CD15-CD163-CD20-CD3+CK+,Tcell
CD11c-CD15+CD163-CD20-CD3-CK+,CD15+Tumor
CD11c-CD15-CD163+CD20-CD3+CK+,Tcell
CD11c-CD15+CD163+CD20-CD3+CK-,Tcell
CD11c+CD15-CD163-CD20-CD3+CK+,Tcell
CD11c+CD15-CD163+CD20-CD3+CK+,Tcell
CD11c+CD15-CD163-CD20-CD3-CK+,CD15-Tumor
CD11c+CD15-CD163+CD20+CD3-CK-,Bcell
CD11c-CD15-CD163-CD20+CD3-CK+,Bcell
CD11c-CD15-CD163+CD20+CD3-CK-,Bcell
CD11c-CD15+CD163+CD20-CD3-CK-,Macrophage
CD11c+CD15+CD163+CD20-CD3+CK-,Tcell
CD11c+CD15-CD163-CD20-CD3-CK-,DC
CD11c-CD15-CD163-CD20+CD3+CK-,BnTcell
CD11c+CD15-CD163-CD20+CD3-CK-,Bcell
CD11c-CD15-CD163+CD20+CD3+CK-,BnTcell
CD11c+CD15-CD163-CD20-CD3+CK-,Tcell
CD11c-CD15-CD163-CD20+CD3-CK-,Bcell
CD11c+CD15-CD163-CD20+CD3+CK-,BnTcell
CD11c-CD15+CD163-CD20-CD3+CK-,Tcell
CD11c+CD15+CD163+CD20-CD3-CK+,Macrophage
CD11c+CD15+CD163-CD20+CD3-CK+,Bcell
CD11c+CD15+CD163-CD20-CD3-CK-,DC
CD11c-CD15-CD163-CD20+CD3+CK+,BnTcell
CD11c-CD15-CD163+CD20+CD3-CK+,Bcell
CD11c-CD15-CD163+CD20+CD3+CK+,BnTcell
CD11c+CD15-CD163+CD20+CD3-CK+,Bcell
CD11c+CD15-CD163-CD20+CD3-CK+,Bcell
CD11c-CD15+CD163+CD20-CD3-CK+,Macrophage
CD11c-CD15+CD163-CD20+CD3+CK-,BnTcell
CD11c+CD15-CD163-CD20+CD3+CK+,BnTcell
CD11c-CD15+CD163+CD20+CD3-CK-,Bcell
CD11c+CD15-CD163+CD20+CD3+CK+,BnTcell
CD11c-CD15+CD163-CD20-CD3+CK+,Tcell
CD11c+CD15+CD163-CD20+CD3+CK-,BnTcell
CD11c-CD15+CD163-CD20+CD3-CK+,Bcell
CD11c-CD15+CD163-CD20+CD3-CK-,Bcell
CD11c+CD15+CD163-CD20-CD3-CK+,CD15+Tumor
CD11c+CD15+CD163-CD20+CD3+CK+,BnTcell
CD11c-CD15+CD163+CD20-CD3+CK+,Tcell
CD11c-CD15+CD163-CD20+CD3+CK+,BnTcell
CD11c+CD15+CD163-CD20-CD3+CK+,Tcell
CD11c-CD15+CD163+CD20+CD3+CK+,BnTcell
CD11c+CD15+CD163+CD20-CD3+CK+,Tcell
CD11c-CD15+CD163+CD20+CD3+CK-,BnTcell
CD11c+CD15+CD163+CD20+CD3-CK-,Bcell
CD11c+CD15+CD163-CD20-CD3+CK-,Tcell
CD11c+CD15+CD163+CD20+CD3+CK-,BnTcell
CD11c+CD15+CD163-CD20+CD3-CK-,Bcell
CD11c+CD15+CD163+CD20+CD3-CK+,Bcell
CD11c-CD15+CD163+CD20+CD3-CK+,Bcell
CD11c+CD15+CD163+CD20+CD3+CK+,BnTcell
